pair,mech,recent_default,hist_default,recent_step5,hist_step5,recent_step15,hist_step15,recent_bd20_80,hist_bd20_80,recent_bd35_65,hist_bd35_65,recent_static,hist_static
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,1.3848631466883028,0.351458411916058,1.4104605666141823,0.3880499628500158,1.40853355958686,0.38039010807043355,1.3300387146174166,0.34009788801347796,1.4804800450175428,0.4022745753789468,1.5796668206168814,0.3968169179977462
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,1.2907423749231206,0.31184414057530285,1.3004910481975167,0.3525343556211812,1.3244274834577523,0.3260555030355264,1.2407902769093102,0.308725766701465,1.3815017029802212,0.3660818463665465,1.4660012979906742,0.3780311603368079
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,A,1.0350580190303877,0.42047671557534766,1.036205732808193,0.4440792154495381,0.9774530691463691,0.3960871759730568,1.0402203124143226,0.44855117465471206,0.9918599416205416,0.36566852498176594,1.4013737128458787,0.31970695166491914
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,B,0.9707241069553605,0.43140976967143146,0.9877219865545619,0.4580601974336674,0.9048856169513153,0.4058989031813282,0.9766103358665101,0.45421822197356915,0.9331340723720053,0.3894243671496983,1.3238852164129513,0.3709740820199923
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,A,0.8678914239046318,0.8064236341614045,0.863454356725513,0.8112036497721282,0.8103334069023469,0.7989006249207201,0.9224080482910751,0.8170255118888111,0.7454082167855808,0.8095355742953668,1.3115750184114876,0.8993238084244382
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,B,0.8266199968597407,0.8657686896281693,0.8254560665547245,0.8733533289151942,0.7668019162851538,0.8580184973304454,0.8795360343400227,0.8801393491986709,0.7074308475835643,0.8619878584829599,1.224521068038998,0.9143245459435687
core-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,1.3643914547245537,0.32857352513606636,1.3891349683930478,0.3131964273832592,1.3237499639836925,0.2754829777278026,1.3484607034223917,0.42518342710442786,1.3723816632380732,0.1587635245335822,1.5028531277172745,-0.3853963470517161
core-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,1.4256164774532452,0.29122676991756336,1.4392468051499854,0.2773254693019402,1.397979754779279,0.2372048767415362,1.4091397360450193,0.3790751685120206,1.4382537028020654,0.13813974956680988,1.4743645797522296,-0.1689486133468236
sp500-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,A,1.0940201161893315,0.4905770314007462,1.0540274943965753,0.46561474280035964,1.094790830611325,0.5341248439328511,1.0535721412675274,0.46196972770824396,1.1176183608124537,0.5127405426578631,1.3723623452121796,0.44677765585371393
sp500-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,B,0.9150374566410477,0.535509768918187,0.8582440438430603,0.4958634205505164,0.9241466098184994,0.5883381273901326,0.8872701174767614,0.5038115886017921,0.9088225229022642,0.5587973869514015,1.1686621439648048,0.45220674071697664
core-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide3m_bd7,A,1.1874040793179523,0.3742329817324971,1.1660866810416053,0.2182446041581318,1.1860770359633455,0.3163474870614268,1.167573380505506,0.48978173462290625,1.1606776409105004,0.1905648247385992,1.3087090534961678,-0.44489666753386947
core-2m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide3m_bd7,B,1.3447251585359798,0.4006007302365806,1.32975678477204,0.23625890588433718,1.3466989866990982,0.33913814660837327,1.3203128416012224,0.5122874080268053,1.331603115095182,0.21964234085365494,1.4881187662253934,-0.3594144387629162
