pair,window,mech,alpha_ann,alpha_tstat,alpha_pval,rsquared,adj_rsquared,n_obs,const_beta,const_pval,Mkt-RF_beta,Mkt-RF_pval,SMB_beta,SMB_pval,HML_beta,HML_pval,Mom_beta,Mom_pval,ST_Rev_beta,ST_Rev_pval
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,A,-0.005791682546406352,-0.19699503946993563,0.8438314196532701,0.07306360662533196,0.06935586105183333,1256,-2.2982867247644254e-05,0.8438314196532701,0.07861790611493909,8.062173305010596e-06,-0.04731218580646254,0.08249544118201711,-0.009251172873508316,0.7490026239926488,0.007812935573931555,0.7064753763784688,0.12682035776379424,0.0001338923318586157
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,historical,B,-0.008518282702906537,-0.28787919566455666,0.773439212546081,0.07405889413035449,0.07035512970687585,1256,-3.380270913851801e-05,0.773439212546081,0.07907598126745802,6.317943917251151e-06,-0.04900586313088816,0.0719637850601817,-0.007988864715677224,0.7825974052424253,0.007607524980780822,0.7152461496897324,0.1282431274436328,0.00012055548016618229
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,A,0.0151409685564022,0.3136746528232646,0.7537681539488448,0.19667269736924087,0.18847547999545766,496,6.0083208557151584e-05,0.7537681539488448,0.19219658449991783,0.04150436365172541,-0.07937153644293199,0.3247578552857665,-0.07637999379217394,0.08029213612582041,-0.04869478776020115,0.4358351777303663,0.16281838171393392,0.018762590027717498
sp500-12m/same_sector_slide1m_noscreen + sp500-12m/cross_sector_slide1m_noscreen,recent,B,0.03288205910703979,0.6545075319603236,0.5127848761864269,0.1958072689683793,0.18760122069254648,496,0.0001304843615358722,0.5127848761864269,0.1983093317092552,0.03125970896856424,-0.09218063098725197,0.2505723604971989,-0.07465609181695458,0.08470457089507556,-0.06000838907136848,0.33101034155261344,0.16794327830753264,0.014722866911429874
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,historical,A,0.0004247705085418063,0.013590568374575477,0.9891566291239315,0.07017690736427817,0.06645165458929525,1254,1.685597256118279e-06,0.9891566291239315,0.09391538396172729,1.1841214241203456e-06,-0.045997946777959146,0.07694890486317571,-0.024718193874009448,0.4797794681746772,0.009554786465500084,0.6484167408590438,0.12018774107799826,0.00016725250874002038
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,historical,B,0.0012798172928787479,0.04085100731758033,0.9674146753110586,0.07028119681444744,0.06655636186578728,1254,5.078640051106142e-06,0.9674146753110586,0.09355243998086522,1.0747388598645654e-06,-0.0478683874907291,0.06584333798933734,-0.02312016043310701,0.5029585559133432,0.008290856108221598,0.6943818441286331,0.12141855567199324,0.00014860806522412528
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,recent,A,0.06094545261782127,0.9324142539292861,0.3511224811914695,0.12135428144090132,0.1124790721625265,501,0.00024184703419770346,0.3511224811914695,0.13569794843436905,0.11671774744515162,-0.09295374031152938,0.23462940554788347,-0.025926634121483237,0.6043037573463217,-0.0058763558375481825,0.9175638645626703,0.18007988617810627,0.0021057333194113015
sp500-2m/same_sector_slide3m_noscreen + sp500-12m/same_sector_slide1m_noscreen,recent,B,0.06610355380355737,1.0285812680229505,0.303676484039646,0.12702969451702473,0.11821181264345926,501,0.00026231568969665623,0.303676484039646,0.1418776442931256,0.09986272035777595,-0.09992283511570622,0.19869270108549708,-0.02185485997355052,0.6563822394037162,-0.012005931381351432,0.8321327046434216,0.1781828532753853,0.0023383380137252
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,historical,A,0.029460782065596065,0.9244210284016917,0.35526715046247137,0.04880728496292297,0.044993360684506545,1253,0.00011690786533966692,0.35526715046247137,0.05732954582424871,0.05402097120652495,-0.057370249756219675,0.15722176285571152,-0.04239091707450633,0.10838305203193138,0.023037429056362052,0.33252624409018405,0.11025076493995643,0.0017436967269430033
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,historical,B,0.03287162001376358,1.0470905852583954,0.2950578010964716,0.05077307556518884,0.04696703336617203,1253,0.0001304429365625539,0.2950578010964716,0.058630465611040544,0.047296147011753546,-0.05974907699542924,0.13759128343024107,-0.04279430139011065,0.10305578410414541,0.020858033122062178,0.37861078080986565,0.11072060033399078,0.001639482998433748
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,recent,A,-0.03264481338552275,-0.7202864667487572,0.4713486354498351,0.26826551215489525,0.2607682325663183,494,-0.0001295429102600109,0.4713486354498351,0.19779183756684615,0.07003185616578304,-0.16078218751384388,0.07827155645751409,-0.12402004237714243,0.009147491662697687,-0.06767488895808547,0.3426857655303396,0.20859930600961946,0.0035347671394826198
sp500-2m/cross_sector_slide3m_bd7 + sp500-12m/same_sector_slide1m_noscreen,recent,B,-0.02414887098145146,-0.5238301397398619,0.6003966882377807,0.26564321731540175,0.25811906995183,494,-9.582885310099786e-05,0.6003966882377807,0.2014663466266526,0.061090871940958455,-0.16645238959536113,0.06552376529390605,-0.1175182539284688,0.013213708308362252,-0.07534451007089979,0.28692681664637265,0.20877176119101556,0.003245869602126231
