A,B,mech,recent_sh,recent_ret,recent_vol,recent_mdd,hist_sh,hist_ret,hist_vol,hist_mdd,joined_sh,joined_ret,rejected_entries,score,recent_rank,hist_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-12m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_bd7,B,0.8551345622657288,0.053415186360722046,0.06607647809673775,-0.058527265121723106,0.3539490177972602,0.015633727434984035,0.04696543239659796,-0.13399233684954126,0.4918434798479833,0.02448093581459978,0,0.3539490177972602,126,90,108.0,57,52,72
core-12m/same_sector_slide1m_noscreen,core-12m/same_sector_slide1m_bd7,B,-0.3368743280655633,-0.013160115521342686,0.03728585022338791,-0.035101463517203356,-0.24580056865385322,-0.008024943182446065,0.030843031441464292,-0.09445766260929733,-0.2649277812743769,-0.008976475192782597,0,-0.3368743280655633,482,343,412.5,378,464,449
core-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_noscreen,B,0.32546826364478193,0.039903422933132496,0.10580192522311314,-0.11973599599198385,-1.0917894409592168,-0.06943343772296962,0.0640221156740165,-0.3306003536619556,-0.5637382800288351,-0.04375182090438341,0,-1.0917894409592168,356,494,425.0,494,475,494
core-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_bd7,B,-0.007103707595171326,-4.973296259207505e-05,0.06384153703974131,-0.07625077615426754,-0.2552158237770694,-0.012620393208448988,0.04567992438383411,-0.14545069764884966,-0.17308527605573656,-0.009723421331038073,0,-0.2552158237770694,452,351,401.5,336,448,417
core-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_noscreen,B,0.4332601529807297,0.036742515799093135,0.09183301562979468,-0.09270025487074976,-0.5748410901608246,-0.03219923357599863,0.05436083001132048,-0.22501370748229454,-0.20127541614157082,-0.015277446981850074,0,-0.5748410901608246,312,449,380.5,446,426,430
core-12m/same_sector_slide1m_noscreen,core-12m/cross_sector_slide1m_bd7,B,0.4011039106489188,0.0253672091356131,0.06772039045778776,-0.07517767798137906,-0.0670758446262637,-0.003405875992277485,0.03933482032857504,-0.08198995840132961,0.09404566603045655,0.0033677384853882052,0,-0.0670758446262637,326,271,298.5,254,338,280
core-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,B,0.5775041853087315,0.06853133474782633,0.11531680986077274,-0.09902526229726114,0.35078726262636845,0.027275362384546975,0.08769639931303544,-0.15075265568635132,0.4319762449193678,0.03799107404309319,0,0.35078726262636845,242,91,166.5,59,122,100
core-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,B,0.5763032552742171,0.03936058702726934,0.06704176003639431,-0.058428687021959316,-0.08583408999128181,-0.006795458530937104,0.059020373039970646,-0.16724825999137516,0.0981526316314663,0.0043652757448565,0,-0.08583408999128181,244,282,263.0,264,282,275
core-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_noscreen,B,0.882630626931455,0.08612580851364893,0.09853196491352056,-0.07759149698847922,0.13363165507254227,0.006470083165354135,0.06327386425217096,-0.10282301975249597,0.39509154278408554,0.02702443356319386,0,0.13363165507254227,116,175,145.5,145,91,121
core-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_bd7,B,0.4948151566798663,0.026650449236447393,0.056508832702234245,-0.05879535519317462,0.13286958320839565,0.005310033776445122,0.04889591178821754,-0.08936446370815732,0.23744564684831307,0.01087026270628728,0,0.13286958320839565,285,176,230.5,146,210,199
core-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,B,0.9022605131253447,0.08956810912722876,0.0950121074263149,-0.0710067508426369,-0.308733171857189,-0.03741710756701899,0.10499114792086445,-0.3501444195691519,-0.024898829234486698,-0.007627245667235249,0,-0.308733171857189,107,374,240.5,360,233,346
core-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_bd7,B,1.193909460944131,0.07660613307758926,0.07606025400871883,-0.055561181239177374,-0.08621638055144658,-0.010930600583005767,0.08407416129983289,-0.25916977949200504,0.13888873665009652,0.007634272136444053,0,-0.08621638055144658,28,283,155.5,265,104,258
core-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,B,1.308754525420719,0.09753601482642522,0.07015760186164187,-0.05385921910620646,0.17656927877037223,0.009544807451669524,0.06632816138904674,-0.18639706389406696,0.4849586589518566,0.0311436253812162,0,0.17656927877037223,13,153,83.0,124,26,74
core-12m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,B,0.8273746793051644,0.04836135093940754,0.06277816994281941,-0.0555676477998893,0.03270373843162268,0.00037078419289793274,0.050213325575462896,-0.15759992858715088,0.2523263102245079,0.01203059905338697,0,0.03270373843162268,136,223,179.5,198,140,194
