mechanism,direction,day_rank,date,mean_v1_total_return,mean_v2_total_return,mean_return_difference,coverage_starts,trade_rank,leg,pair,fold_id,entry_date,exit_date,exit_reason,mean_v1_trade_day_pnl,mean_v2_trade_day_pnl,mean_trade_difference
A,v2_outperformed,2,2024-01-09,-0.015210543213178211,-0.004776359913225198,-0.010434183299953013,1,1,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,-3541.4232845306396,-999.1245040893555,-2542.298780441284
A,v2_outperformed,2,2024-01-09,-0.015210543213178211,-0.004776359913225198,-0.010434183299953013,1,2,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,-3401.676685333252,-859.9580416679382,-2541.7186436653137
A,v2_outperformed,2,2024-01-09,-0.015210543213178211,-0.004776359913225198,-0.010434183299953013,1,3,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,-3193.610885620117,-897.4432983398438,-2296.1675872802734
A,v2_outperformed,2,2024-01-09,-0.015210543213178211,-0.004776359913225198,-0.010434183299953013,1,4,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,-3448.414542198181,-1178.7086100578308,-2269.7059321403503
A,v2_outperformed,2,2024-01-09,-0.015210543213178211,-0.004776359913225198,-0.010434183299953013,1,5,B,TYL-VTR,0,2024-01-08,2024-01-10,guard_trip,-649.87255859375,-309.2822265625,-340.59033203125
A,v2_outperformed,3,2024-01-17,-0.016135530260969172,-0.0057554040964314926,-0.010380126164537679,1,1,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,-3473.1702098846417,-979.877647399896,-2493.2925624847458
A,v2_outperformed,3,2024-01-17,-0.016135530260969172,-0.0057554040964314926,-0.010380126164537679,1,2,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,-3220.1072750091457,-904.9827480316135,-2315.1245269775322
A,v2_outperformed,3,2024-01-17,-0.016135530260969172,-0.0057554040964314926,-0.010380126164537679,1,3,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,-2867.3210792541395,-724.8671240806549,-2142.4539551734847
A,v2_outperformed,3,2024-01-17,-0.016135530260969172,-0.0057554040964314926,-0.010380126164537679,1,4,A,CMS-SYY,0,2024-01-11,2024-01-24,stop_loss,-2070.152763366699,-910.9179611206055,-1159.2348022460938
A,v2_outperformed,3,2024-01-17,-0.016135530260969172,-0.0057554040964314926,-0.010380126164537679,1,5,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,-1518.0770196914646,-518.6176152229269,-999.4594044685376
A,v2_outperformed,4,2024-10-31,-0.02163775878298193,-0.011764310349782054,-0.009873448433199875,5,1,A,ETR-FE,5,2024-10-30,2024-10-31,stop_loss,-7278.683045649678,-2504.7737819238355,-4773.909263725843
A,v2_outperformed,4,2024-10-31,-0.02163775878298193,-0.011764310349782054,-0.009873448433199875,5,2,A,MET-PNR,6,2024-10-25,2024-10-31,stop_loss,-5233.794729025644,-1278.5021185370815,-3955.292610488563
A,v2_outperformed,4,2024-10-31,-0.02163775878298193,-0.011764310349782054,-0.009873448433199875,5,3,A,MET-PNR,4,2024-10-25,2024-10-31,stop_loss,-5170.343691596938,-2303.3945234803323,-2866.9491681166055
A,v2_outperformed,4,2024-10-31,-0.02163775878298193,-0.011764310349782054,-0.009873448433199875,5,4,A,MET-PNR,5,2024-10-25,2024-10-31,stop_loss,-5133.51790705363,-2309.4996731694882,-2824.0182338841414
A,v2_outperformed,4,2024-10-31,-0.02163775878298193,-0.011764310349782054,-0.009873448433199875,5,5,A,MET-PNR,7,2024-10-25,2024-10-31,stop_loss,-5065.503716994663,-2283.3274319995876,-2782.176284995075
A,v2_outperformed,5,2024-01-11,-0.009965855109763574,-0.0024456604043599705,-0.007520194705403604,1,1,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,-3025.4404563903813,-853.5726470947264,-2171.8678092956548
A,v2_outperformed,5,2024-01-11,-0.009965855109763574,-0.0024456604043599705,-0.007520194705403604,1,2,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,-3080.438352584839,-1053.0825719833374,-2027.3557806015015
A,v2_outperformed,5,2024-01-11,-0.009965855109763574,-0.0024456604043599705,-0.007520194705403604,1,3,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,-2679.907154083252,-753.2333869934082,-1926.6737670898438
A,v2_outperformed,5,2024-01-11,-0.009965855109763574,-0.0024456604043599705,-0.007520194705403604,1,4,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,-2195.5295219421387,-555.038731098175,-1640.4907908439636
A,v2_outperformed,5,2024-01-11,-0.009965855109763574,-0.0024456604043599705,-0.007520194705403604,1,5,B,TYL-VRTX,0,2024-01-04,2024-01-16,stop_loss,-714.3538818359375,-460.6210632324219,-253.73281860351562
A,v2_outperformed,6,2024-10-30,-0.015135807911309796,-0.007660525423421239,-0.007475282487888556,5,1,A,AVY-SW,6,2024-10-23,2024-10-31,stop_loss,-8329.69416027881,-1851.8054207979674,-6477.888739480843
A,v2_outperformed,6,2024-10-30,-0.015135807911309796,-0.007660525423421239,-0.007475282487888556,5,2,A,AVY-SW,4,2024-10-23,2024-10-31,stop_loss,-8228.710502474576,-3336.2779794983317,-4892.432522976244
A,v2_outperformed,6,2024-10-30,-0.015135807911309796,-0.007660525423421239,-0.007475282487888556,5,3,A,AVY-SW,5,2024-10-23,2024-10-31,stop_loss,-8170.101493459201,-3345.120787910803,-4824.980705548398
A,v2_outperformed,6,2024-10-30,-0.015135807911309796,-0.007660525423421239,-0.007475282487888556,5,4,A,AVY-SW,7,2024-10-23,2024-10-31,stop_loss,-8061.855482470586,-3307.2124439431677,-4754.643038527418
A,v2_outperformed,6,2024-10-30,-0.015135807911309796,-0.007660525423421239,-0.007475282487888556,5,5,A,AVY-SW,8,2024-10-23,2024-10-31,stop_loss,-7895.287916615492,-3278.5761626966287,-4616.711753918863
A,v2_outperformed,7,2025-06-10,-0.010952726548463396,-0.004639361878987588,-0.006313364669475807,5,1,A,CSGP-NTAP,14,2025-06-03,2025-06-11,stop_loss,-2616.1104495995646,-601.1755030729083,-2014.9349465266564
A,v2_outperformed,7,2025-06-10,-0.010952726548463396,-0.004639361878987588,-0.006313364669475807,5,2,A,CSGP-NTAP,17,2025-06-03,2025-06-11,stop_loss,-2528.1136639233455,-589.2162941006919,-1938.8973698226537
A,v2_outperformed,7,2025-06-10,-0.010952726548463396,-0.004639361878987588,-0.006313364669475807,5,3,A,CSGP-NTAP,15,2025-06-03,2025-06-11,stop_loss,-2709.9965579172595,-1032.5303129747003,-1677.4662449425591
A,v2_outperformed,7,2025-06-10,-0.010952726548463396,-0.004639361878987588,-0.006313364669475807,5,4,A,CSGP-NTAP,13,2025-06-03,2025-06-11,stop_loss,-2653.320757650773,-1015.0168682227423,-1638.3038894280307
A,v2_outperformed,7,2025-06-10,-0.010952726548463396,-0.004639361878987588,-0.006313364669475807,5,5,A,CSGP-NTAP,16,2025-06-03,2025-06-11,stop_loss,-2599.518902752869,-1006.1740772265331,-1593.344825526336
A,v2_outperformed,8,2025-01-21,-0.010421877430707873,-0.004955280885873124,-0.005466596544834749,5,1,A,SYK-USB,10,2025-01-16,2025-01-31,max_holding_loss,-2038.6999463071295,-807.6058048029075,-1231.094141504222
A,v2_outperformed,8,2025-01-21,-0.010421877430707873,-0.004955280885873124,-0.005466596544834749,5,2,A,SYK-USB,8,2025-01-16,2025-01-31,max_holding_loss,-2022.6698757571698,-813.416919507442,-1209.252956249728
A,v2_outperformed,8,2025-01-21,-0.010421877430707873,-0.004955280885873124,-0.005466596544834749,5,3,A,SYK-USB,9,2025-01-16,2025-01-31,max_holding_loss,-2000.92195418239,-814.7742877248672,-1186.1476664575227
A,v2_outperformed,8,2025-01-21,-0.010421877430707873,-0.004955280885873124,-0.005466596544834749,5,4,A,SYK-USB,11,2025-01-16,2025-01-31,max_holding_loss,-1981.6558404777709,-806.330460122211,-1175.32538035556
A,v2_outperformed,8,2025-01-21,-0.010421877430707873,-0.004955280885873124,-0.005466596544834749,5,5,A,SYK-USB,12,2025-01-16,2025-01-31,max_holding_loss,-1933.617953166696,-798.5659493573135,-1135.0520038093825
A,v2_outperformed,9,2025-10-21,-0.005806262058182755,-0.0005339849450974938,-0.005272277113085261,5,1,A,KO-WST,19,2025-10-17,2025-10-21,stop_loss,-10713.238767277893,-2622.4498202838367,-8090.7889469940565
A,v2_outperformed,9,2025-10-21,-0.005806262058182755,-0.0005339849450974938,-0.005272277113085261,5,2,A,KO-WST,17,2025-10-17,2025-10-21,stop_loss,-10459.191913317512,-2578.754919246856,-7880.4369940706565
A,v2_outperformed,9,2025-10-21,-0.005806262058182755,-0.0005339849450974938,-0.005272277113085261,5,3,A,KO-WST,20,2025-10-17,2025-10-21,stop_loss,-10247.109026600154,-2556.288897749818,-7690.820128850336
A,v2_outperformed,9,2025-10-21,-0.005806262058182755,-0.0005339849450974938,-0.005272277113085261,5,4,A,KO-WST,18,2025-10-17,2025-10-21,stop_loss,-10311.944021067253,-2723.169862213873,-7588.77415885338
A,v2_outperformed,9,2025-10-21,-0.005806262058182755,-0.0005339849450974938,-0.005272277113085261,5,5,A,KO-WST,21,2025-10-17,2025-10-21,stop_loss,-9965.086369064868,-2668.997732307394,-7296.088636757473
A,v2_outperformed,10,2024-02-15,-0.010576368332723572,-0.0055919584309270295,-0.004984409901796542,2,1,A,EQIX-MCO,0,2024-02-13,2024-02-15,stop_loss,-7539.861755371093,-2946.9132385253843,-4592.948516845709
A,v2_outperformed,10,2024-02-15,-0.010576368332723572,-0.0055919584309270295,-0.004984409901796542,2,2,A,CME-FANG,0,2024-02-12,2024-02-15,stop_loss,-7872.506698608395,-5115.9490509033185,-2756.5576477050763
A,v2_outperformed,10,2024-02-15,-0.010576368332723572,-0.0055919584309270295,-0.004984409901796542,2,3,A,FFIV-IBM,0,2024-01-25,2024-02-16,max_holding_loss,-2699.0116424560547,-1312.5496673583982,-1386.4619750976565
A,v2_outperformed,10,2024-02-15,-0.010576368332723572,-0.0055919584309270295,-0.004984409901796542,2,4,A,EQIX-SNA,0,2024-02-08,2024-02-23,max_holding_loss,-2838.1444091796875,-1482.9875488281252,-1355.1568603515623
A,v2_outperformed,10,2024-02-15,-0.010576368332723572,-0.0055919584309270295,-0.004984409901796542,2,5,A,EQIX-MCO,1,2024-02-13,2024-02-15,stop_loss,-738.8116218907812,-292.4965624776778,-446.3150594131034
B,v1_outperformed,1,2025-04-09,0.06279830542215366,0.03944258758425749,0.02335571783789616,5,1,A,CME-MA,10,2025-04-04,2025-04-09,signal,6151.204948805793,506.6857492326689,5644.519199573124
B,v1_outperformed,1,2025-04-09,0.06279830542215366,0.03944258758425749,0.02335571783789616,5,2,A,CME-MA,12,2025-04-04,2025-04-09,signal,6110.442796423743,499.7110539467553,5610.731742476988
B,v1_outperformed,1,2025-04-09,0.06279830542215366,0.03944258758425749,0.02335571783789616,5,3,A,CME-MA,13,2025-04-04,2025-04-09,signal,5975.965295101065,500.2145040182837,5475.750791082781
B,v1_outperformed,1,2025-04-09,0.06279830542215366,0.03944258758425749,0.02335571783789616,5,4,A,IVZ-MET,10,2025-04-04,2025-04-09,signal,5942.689184892269,511.870065405526,5430.819119486743
B,v1_outperformed,1,2025-04-09,0.06279830542215366,0.03944258758425749,0.02335571783789616,5,5,A,IVZ-MET,12,2025-04-04,2025-04-09,signal,5903.308802653376,504.82400630954623,5398.48479634383
B,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,1,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,6362.37107849121,1608.4633808135986,4753.907697677611
B,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,2,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,5306.905641555786,1491.4236469268797,3815.4819946289062
B,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,3,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,4901.754426956176,1382.8961410522463,3518.8582859039298
B,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,4,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,5039.342926979065,1722.4776196479797,3316.865307331085
B,v1_outperformed,2,2024-01-05,0.021754160867188056,0.005837365228662852,0.015916795638525202,1,5,A,FFIV-IBM,0,2024-01-04,2024-01-09,signal,1082.2715530395508,542.765022277832,539.5065307617188
B,v1_outperformed,3,2025-05-02,0.014112410353646266,0.002613421762780893,0.011498988590865374,5,1,A,LII-MSI,10,2025-04-23,2025-05-02,signal,6726.569024542626,449.5267912920831,6277.042233250542
B,v1_outperformed,3,2025-05-02,0.014112410353646266,0.002613421762780893,0.011498988590865374,5,2,A,LII-MSI,13,2025-04-23,2025-05-02,signal,6595.653102583632,442.79148765893353,6152.861614924698
B,v1_outperformed,3,2025-05-02,0.014112410353646266,0.002613421762780893,0.011498988590865374,5,3,A,LII-MSI,12,2025-04-23,2025-05-02,signal,6634.873777756355,1341.399822259249,5293.473955497106
B,v1_outperformed,3,2025-05-02,0.014112410353646266,0.002613421762780893,0.011498988590865374,5,4,A,LII-MSI,11,2025-04-23,2025-05-02,signal,6624.143374432509,1343.6870944166112,5280.456280015897
B,v1_outperformed,3,2025-05-02,0.014112410353646266,0.002613421762780893,0.011498988590865374,5,5,A,LII-MSI,14,2025-04-23,2025-05-02,signal,6427.813787358269,1321.1115916213337,5106.702195736935
B,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,1,A,ELV-KEY,0,2024-01-02,2024-01-17,max_holding_loss,3920.2967376708984,990.9778537750245,2929.318883895874
B,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,2,A,ELV-USB,0,2024-01-02,2024-01-17,stop_loss,2867.182331085205,808.7645111083983,2058.4178199768066
B,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,3,A,ELV-TFC,0,2024-01-02,2024-01-17,max_holding_loss,2795.6948585510254,784.5586280822754,2011.13623046875
B,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,4,A,ELV-SRE,0,2024-01-11,2024-01-12,signal,2725.8435478210376,1393.34017944335,1332.5033683776876
B,v1_outperformed,4,2024-01-12,0.014909544429173461,0.004764650571551614,0.010144893857621847,1,5,A,ELV-HBAN,0,2024-01-02,2024-01-17,max_holding_loss,1666.0242872238157,568.3614287376403,1097.6628584861755
B,v1_outperformed,5,2025-02-26,0.017797663426361954,0.008841264497895912,0.008956398928466044,5,1,A,INTU-VTRS,8,2025-02-21,2025-02-26,signal,13187.187678043121,5870.276462205234,7316.9112158378875
B,v1_outperformed,5,2025-02-26,0.017797663426361954,0.008841264497895912,0.008956398928466044,5,2,A,INTU-VTRS,10,2025-02-21,2025-02-26,signal,13099.177296695429,5787.14773054873,7312.029566146699
B,v1_outperformed,5,2025-02-26,0.017797663426361954,0.008841264497895912,0.008956398928466044,5,3,A,INTU-VTRS,9,2025-02-21,2025-02-26,signal,12973.672743024807,5858.7024014325,7114.970341592307
B,v1_outperformed,5,2025-02-26,0.017797663426361954,0.008841264497895912,0.008956398928466044,5,4,A,INTU-VTRS,11,2025-02-21,2025-02-26,signal,12811.502230725002,5795.302972388971,7016.199258336031
B,v1_outperformed,5,2025-02-26,0.017797663426361954,0.008841264497895912,0.008956398928466044,5,5,A,INTU-VTRS,12,2025-02-21,2025-02-26,signal,12574.146224020156,5755.5603272728185,6818.585896747338
