window,start_index,start_A,start_B,mechanism,case,date,daily_return
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-19,-0.0038916065854305367
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-20,0.0003933240006056093
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-23,4.1807615746225646e-06
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-24,-0.0013157253169308952
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-25,-0.000963342057325449
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-26,0.0007463245498467026
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-27,-0.0002401308774014354
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-30,-0.0003548104225983181
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-10-31,0.00010400981367021309
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-01,3.4035716113909683e-06
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-02,0.0002964899743478729
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-03,0.0019682813064978953
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-06,0.002383673750763352
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-07,0.0003470858337434404
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-08,-0.00277471227094601
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-09,0.001112296329002271
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-10,0.0030376350515856874
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-13,0.0023902711077168695
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-14,-0.00040597749482165307
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-15,0.0017188981232126768
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-16,-0.0008915523652688307
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-17,-0.0014165939950240018
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-20,0.0007272578935239018
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-21,-0.0029107924186401275
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-22,0.00022772319296343762
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-24,-0.0013927737228418564
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-27,-0.0009703025115041378
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-28,0.00043889042823860326
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-29,-0.0004578251420705155
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-11-30,-0.0036016580286967258
historical,0,2014-01-01,2014-11-01,B,case_2_v2_sizing_v2_allocator,2017-12-01,0.001323012770907292
