window,start_index,start_A,start_B,mechanism,leg,pair,fold_id,entry_date,exit_date,exit_reason,entry_hedge_ratio,abs_entry_hedge_ratio,v1_reference_leg_sizing_budget,v1_actual_gross_exposure,v1_sizing_time_gross_exposure,v2_pair_gross_budget,v2_actual_gross_exposure,v1_gross_v2_gross_ratio,v1_final_dollar_pnl_pre_combined_rescaling,v2_final_dollar_pnl_pre_combined_rescaling,v1_normalized_trade_pnl,v2_normalized_trade_pnl,v1_allocator_weight_applicable_at_entry,v2_allocator_weight_applicable_at_entry,v1_replay_allocation,v2_replay_allocation,v1_final_contribution_to_combined_book,v2_final_contribution_to_combined_book,contribution_difference_v1_minus_v2,trade_identity_match
recent,3,2023-04-01,2024-02-01,B,B,IEX-TFC,4,2025-06-06,2025-06-11,signal,1.1237825193678015,1.1237825193678015,250000.0,530848.7047576904,530848.7047576904,250000.0,249957.7472229004,2.123753757007199,2244.660316467285,1056.9674072265625,0.0089786412658691,0.0042278696289062,0.9,0.5,26727.208055324056,128803.28927786993,239.9740131670016,544.5635148411259,-304.5895016741243,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-NOW,4,2025-06-10,2025-06-16,signal,1.0047900443527005,1.0047900443527005,250000.0,500682.92109680176,500682.92109680176,250000.0,249767.22483825684,2.004598167037456,4755.823455810547,2372.919631958008,0.0190232938232421,0.009491678527832,0.9,0.5,26727.208055324056,128803.28927786993,508.4395319113526,1222.5594151528917,-714.1198832415391,True
recent,3,2023-04-01,2024-02-01,B,B,CHRW-CMCSA,4,2025-06-10,2025-06-17,signal,0.4544860446176461,0.4544860446176461,250000.0,363590.8637523651,363590.8637523651,250000.0,249966.7468547821,1.454556929380662,4601.876918792725,3163.730037689209,0.0184075076751709,0.0126549201507568,0.9,0.5,26727.208055324056,128803.28927786993,491.981287414267,1629.9953409662735,-1138.0140535520065,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-META,4,2025-06-02,2025-06-17,stop_loss,1.0303182350714049,1.0303182350714049,250000.0,507377.72802734375,507377.72802734375,250000.0,249573.84619140625,2.0329763545745068,-14577.263549804688,-7170.900634765625,-0.0583090541992187,-0.0286836025390625,0.9,0.5,26727.208055324056,128803.28927786993,-1558.4382230916851,-3694.5423553703113,2136.104132278626,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-TFC,4,2025-06-17,2025-06-18,stop_loss,1.4495195607022158,1.4495195607022158,250000.0,612224.2974472046,612224.2974472046,250000.0,249916.66107177731,2.449713815884291,-6971.649509429932,-2845.949737548828,-0.0278865980377197,-0.0113837989501953,0.9,0.5,26727.208055324056,128803.28927786993,-745.330907709326,-1466.2707492631173,720.9398415537913,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-RF,4,2025-06-06,2025-06-18,stop_loss,0.953683555523124,0.953683555523124,250000.0,488220.8606033325,488220.8606033325,250000.0,249938.1901245117,1.9533663917471578,-9740.420000076294,-4988.213653564453,-0.0389616800003051,-0.0199528546142578,0.9,0.5,26727.208055324056,128803.28927786993,-1041.3369275531127,-2569.993304799529,1528.6563772464165,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-PNC,4,2025-06-17,2025-06-18,stop_loss,1.3086700717592876,1.3086700717592876,250000.0,576695.4030914307,576695.4030914307,250000.0,249701.75482177731,2.3095368452778495,-4769.086730957031,-2065.1915130615234,-0.0190763469238281,-0.008260766052246,0.9,0.5,26727.208055324056,128803.28927786993,-509.85749316869465,-1064.013839484249,554.1563463155544,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-MS,4,2025-06-17,2025-06-20,stop_loss,1.367177920848456,1.367177920848456,250000.0,591401.2326965332,591401.2326965332,250000.0,249855.48640441892,2.3669731699998953,-10543.864471435549,-4454.74577331543,-0.0421754578857421,-0.0178189830932617,0.9,0.5,26727.208055324056,128803.28927786993,-1127.2322377407866,-2295.1436339988604,1167.9113962580739,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-MTB,4,2025-06-18,2025-06-20,stop_loss,1.1338144859132786,1.1338144859132786,250000.0,532973.6349334717,532973.6349334717,250000.0,249750.9673461914,2.134020302690929,-7661.17399597168,-3590.3539428710938,-0.0306446959838867,-0.0143614157714843,0.9,0.5,26727.208055324056,128803.28927786993,-819.0471653534934,-1849.797590054256,1030.7504247007628,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-LYV,4,2025-06-17,2025-06-23,stop_loss,0.9274164232990476,0.9274164232990476,250000.0,481806.0869140625,481806.0869140625,250000.0,249635.08476257324,1.9300415539438538,-13064.211853027344,-6769.790420532227,-0.0522568474121093,-0.0270791616821289,0.9,0.5,26727.208055324056,128803.28927786993,-1396.6796330987677,-3487.8850955454595,2091.205462446692,True
recent,3,2023-04-01,2024-02-01,B,B,CF-FIX,4,2025-06-13,2025-06-23,signal,1.6878139111971624,1.6878139111971624,250000.0,670855.4200439453,670855.4200439453,250000.0,249568.45169067383,2.6880617942665013,19530.068725585938,7265.378143310547,0.0781202749023437,0.0290615125732421,0.9,0.5,26727.208055324056,128803.28927786993,2087.9368406540502,3743.2184108237566,-1655.2815701697064,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-WDC,4,2025-06-17,2025-06-25,stop_loss,2.165204200848089,2.165204200848089,250000.0,790990.9823722839,790990.9823722839,250000.0,249820.5742034912,3.1662363474034074,-21565.204555511475,-6812.912322998047,-0.0862608182220459,-0.0272516492919921,0.9,0.5,26727.208055324056,128803.28927786993,-2305.510835643109,-3510.1020670555176,1204.5912314124084,True
recent,3,2023-04-01,2024-02-01,B,B,IEX-ISRG,4,2025-06-09,2025-06-26,signal,0.8567095946966726,0.8567095946966726,250000.0,463948.48861694336,463948.48861694336,250000.0,249095.48149108887,1.8625327357997083,11855.375366210938,6365.530975341797,0.0474215014648437,0.0254621239013671,0.9,0.5,26727.208055324056,128803.28927786993,1267.444335946732,3279.6053104967527,-2012.1609745500207,True
