selected_book_origin,selected_book,window,start_index,start_A,start_B,mechanism,comparison,different_weight_days,identical_weight_days,mean_abs_daily_weight_difference,arithmetic_return_gap_different_weight_days,arithmetic_return_gap_identical_weight_days,arithmetic_return_gap_total,pnl_gap_different_weight_days,pnl_gap_identical_weight_days,pnl_gap_total,log_equity_gap_different_weight_days,log_equity_gap_identical_weight_days,log_equity_gap_total,final_equity_gap,different_weight_share_of_arithmetic_gap,identical_weight_share_of_arithmetic_gap,different_weight_share_of_log_gap,identical_weight_share_of_log_gap,allocator_months,allocator_different_months,allocator_identical_months,allocator_different_month_fraction,allocator_mean_abs_a_weight_difference,allocator_max_abs_a_weight_difference,allocator_largest_difference_month,allocator_largest_difference,daily_different_weight_days,daily_identical_weight_days,daily_different_weight_fraction,daily_mean_abs_weight_difference,daily_max_abs_weight_difference
v2_selected,current_v2_rank_average_leader,recent,1,2023-02-01,2023-02-01,B,v1_matched_to_v2_minus_v2,58,417,0.06484210526315788,-0.0230091214875642,-0.0009836317022511188,-0.023992753189815325,-25027.677392600017,-700.2122593921181,-25727.889651992136,-0.02306430675940623,-0.0006516185239013334,-0.023715925283307567,-25727.889651992125,0.9590029666679243,0.040997033332075467,0.9725240100853253,0.02747598991467453,23,3,20,0.13043478260869565,0.06956521739130435,0.8,2025-11-01,0.8,58,417,0.12210526315789473,0.06484210526315788,0.8
v2_selected,current_v2_rank_average_leader,recent,2,2023-03-01,2023-03-01,A,actual_v1_minus_v2,84,364,0.09553571428571428,0.04043986609400392,0.11793154930608901,0.1583714154000929,59528.59515487263,136319.83811518014,195848.43327005277,0.03981102677598646,0.10647817907103362,0.14628920584702007,195848.43327005277,0.2553482646590036,0.7446517353409966,0.27213919540733783,0.7278608045926622,22,4,18,0.18181818181818182,0.09090909090909091,0.8,2025-10-01,0.8,84,364,0.1875,0.09553571428571428,0.8
v2_selected,current_v2_rank_average_leader,recent,2,2023-03-01,2023-03-01,A,v1_matched_to_v2_minus_v2,84,364,0.09553571428571428,0.023985306640099565,-0.006264261315368961,0.017721045324730605,30088.093192703403,-7185.577031413946,22902.51616128946,0.023833145805023544,-0.005579104933974685,0.01825404087104886,22902.516161286505,1.3534927652731,-0.3534927652731,1.305636706600302,-0.3056367066003022,22,4,18,0.18181818181818182,0.09090909090909091,0.8,2025-10-01,0.8,84,364,0.1875,0.09553571428571428,0.8
v2_selected,current_v2_rank_average_leader,recent,2,2023-03-01,2023-03-01,B,actual_v1_minus_v2,84,364,0.09553571428571428,0.040209746196397,0.11658778011566776,0.15679752631206473,58777.17195365403,133872.20093008957,192649.3728837436,0.039598386105531916,0.10491655145486227,0.14451493756039416,192649.3728837436,0.25644375356005267,0.7435562464399476,0.27400894865268427,0.7259910513473159,22,4,18,0.18181818181818182,0.09090909090909091,0.8,2025-10-01,0.8,84,364,0.1875,0.09553571428571428,0.8
v2_selected,current_v2_rank_average_leader,recent,2,2023-03-01,2023-03-01,B,v1_matched_to_v2_minus_v2,84,364,0.09553571428571428,0.023903364136583994,-0.005900307966107917,0.01800305617047607,29941.846876633437,-6753.070265108166,23188.776611525278,0.023758042919818156,-0.005216351393807737,0.018541691526010415,23188.776611525565,1.3277392410619744,-0.3277392410619741,1.281330933938266,-0.2813309339382657,22,4,18,0.18181818181818182,0.09090909090909091,0.8,2025-10-01,0.8,84,364,0.1875,0.09553571428571428,0.8
v2_selected,current_v2_rank_average_leader,recent,3,2023-04-01,2023-04-01,A,actual_v1_minus_v2,20,409,0.018648018648018648,-0.015181595267880202,0.08058749953374139,0.06540590426586118,-16523.320165166864,84379.44666859857,67856.1265034317,-0.01539965814282641,0.07107316173644837,0.055673503593621956,67856.1265034317,-0.23211352917269096,1.232113529172691,-0.2766065928818358,1.2766065928818358,21,1,20,0.047619047619047616,0.01904761904761905,0.4,2024-11-01,0.4,20,409,0.046620046620046623,0.018648018648018648,0.4
v2_selected,current_v2_rank_average_leader,recent,3,2023-04-01,2023-04-01,A,v1_matched_to_v2_minus_v2,20,409,0.018648018648018648,-0.0006095178122826406,-0.0376918305152871,-0.03830134832756975,-487.61211735616615,-43718.758722850835,-44206.370840207004,-0.0005580779376434093,-0.03745366504557535,-0.038011742983218764,-44206.37084020628,0.015913742959380434,0.9840862570406194,0.014681724484188658,0.9853182755158113,21,1,20,0.047619047619047616,0.01904761904761905,0.4,2024-11-01,0.4,20,409,0.046620046620046623,0.018648018648018648,0.4
v2_selected,current_v2_rank_average_leader,recent,3,2023-04-01,2023-04-01,B,actual_v1_minus_v2,20,409,0.018648018648018648,-0.015672625799646667,0.0762494481402364,0.060576822340589725,-16948.880585726,78398.28681161173,61449.40622588573,-0.015896934930328715,0.06678822526224473,0.05089129033191601,61449.40622588573,-0.25872314185660356,1.2587231418566038,-0.31237044348154597,1.3123704434815462,21,1,20,0.047619047619047616,0.01904761904761905,0.4,2024-11-01,0.4,20,409,0.046620046620046623,0.018648018648018648,0.4
v2_selected,current_v2_rank_average_leader,recent,3,2023-04-01,2023-04-01,B,v1_matched_to_v2_minus_v2,20,409,0.018648018648018648,-0.000620716180358488,-0.03625017213207832,-0.036870888312436796,-502.9093749829175,-41770.09920994815,-42273.008584931056,-0.0005689280774695796,-0.03600781465744384,-0.03657674273491342,-42273.00858493126,0.01683485830606138,0.9831651416939389,0.015554366926350812,0.9844456330736493,21,1,20,0.047619047619047616,0.01904761904761905,0.4,2024-11-01,0.4,20,409,0.046620046620046623,0.018648018648018648,0.4
v2_selected,current_v2_rank_average_leader,recent,4,2023-05-01,2023-05-01,A,actual_v1_minus_v2,58,355,0.07457627118644065,-0.03281050686262127,0.0574904462190758,0.024679939356454544,-37422.55620514043,57893.81564695807,20471.259441817645,-0.03310914485097957,0.051042574551647735,0.017933429700668177,20471.259441817645,-1.3294403356805793,2.329440335680579,-1.8462249220374152,2.8462249220374143,20,3,17,0.15,0.08,0.8,2025-11-01,0.8,58,355,0.14043583535108958,0.07457627118644065,0.8
v2_selected,current_v2_rank_average_leader,recent,4,2023-05-01,2023-05-01,A,v1_matched_to_v2_minus_v2,58,355,0.07457627118644065,-0.024620347731187136,-0.004442444871136172,-0.029062792602323306,-27577.3028426494,-4616.305545499921,-32193.608388149325,-0.02468529653887335,-0.004184409301626319,-0.028869705840499672,-32193.608388148015,0.847143220821077,0.15285677917892304,0.8550588175458217,0.14494118245417825,20,3,17,0.15,0.08,0.8,2025-11-01,0.8,58,355,0.14043583535108958,0.07457627118644065,0.8
v2_selected,current_v2_rank_average_leader,recent,4,2023-05-01,2023-05-01,B,actual_v1_minus_v2,58,355,0.07457627118644065,-0.028852302376761566,0.040569326469194325,0.011717024092432754,-32004.716038259445,36502.893692224985,4498.17765396554,-0.02913525945776854,0.03320037191057305,0.00406511245280451,4498.17765396554,-2.4624257959318654,3.462425795931866,-7.167147230494989,8.167147230494988,20,3,17,0.15,0.08,0.8,2025-11-01,0.8,58,355,0.14043583535108958,0.07457627118644065,0.8
v2_selected,current_v2_rank_average_leader,recent,4,2023-05-01,2023-05-01,B,v1_matched_to_v2_minus_v2,58,355,0.07457627118644065,-0.023014067269991525,-0.0038370771654738364,-0.02685114443546536,-25176.641749611783,-3830.536556078834,-29007.178305690617,-0.023070263375663924,-0.003548746311069223,-0.02661900968673315,-29007.17830569134,0.85709818906617,0.14290181093383017,0.8666837589815405,0.13331624101845946,20,3,17,0.15,0.08,0.8,2025-11-01,0.8,58,355,0.14043583535108958,0.07457627118644065,0.8
v2_selected,current_v2_rank_average_leader,historical,0,2014-01-01,2014-01-01,A,actual_v1_minus_v2,211,1041,0.08817891373801917,0.011209946189892104,0.09220222120115011,0.10341216739104218,10307.43749737041,100798.8569626566,111106.29446002701,0.00875746851598825,0.0805509496397998,0.08930841815578805,111106.29446002701,0.10840065025910227,0.891599349740898,0.09805871268161837,0.9019412873183815,60,10,50,0.16666666666666666,0.08666666666666668,0.8,2018-10-01,0.8,211,1041,0.16853035143769968,0.08817891373801917,0.8
v2_selected,current_v2_rank_average_leader,historical,0,2014-01-01,2014-01-01,A,v1_matched_to_v2_minus_v2,211,1041,0.08817891373801917,-0.0040417921988232155,-0.004676395738389556,-0.008718187937212773,-4301.574119375542,-6214.523540716635,-10516.097660092184,-0.004038856964569553,-0.004842367523385974,-0.008881224487955528,-10516.09766009287,0.46360461920890716,0.5363953807910926,0.4547635261384215,0.5452364738615783,60,10,50,0.16666666666666666,0.08666666666666668,0.8,2018-10-01,0.8,211,1041,0.16853035143769968,0.08817891373801917,0.8
v2_selected,current_v2_rank_average_leader,historical,0,2014-01-01,2014-01-01,B,actual_v1_minus_v2,211,1041,0.08817891373801917,0.011080930380174945,0.09849379111345001,0.10957472149362496,9898.867515798775,110295.9736182337,120194.84113403247,0.008627107277224304,0.08716952333575018,0.09579663061297447,120194.84113403247,0.10112670357843101,0.898873296421569,0.0900564792521614,0.9099435207478387,60,10,50,0.16666666666666666,0.08666666666666668,0.8,2018-10-01,0.8,211,1041,0.16853035143769968,0.08817891373801917,0.8
v2_selected,current_v2_rank_average_leader,historical,0,2014-01-01,2014-01-01,B,v1_matched_to_v2_minus_v2,211,1041,0.08817891373801917,-0.004130775832862302,-0.0029883984516259968,-0.0071191742844883,-4379.399034440513,-4256.372233543178,-8635.771267983686,-0.004125714540854455,-0.003123764778565262,-0.007249479319419726,-8635.771267979173,0.5802324353630018,0.41976756463699805,0.5691049465859697,0.43089505341402906,60,10,50,0.16666666666666666,0.08666666666666668,0.8,2018-10-01,0.8,211,1041,0.16853035143769968,0.08817891373801917,0.8
