selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,case,sizing_mode,allocator_source,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,final_equity,rejected_entries
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,B,v2_sizing_v2_allocator,v2,v2,0.2390704133748922,0.1281490776852272,0.08637031373347327,1.43872454503642,-0.046695340104808025,1239070.4133748922,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,B,v1_sizing_v2_allocator,v1,v2,0.40606363474367013,0.21130301745829838,0.14670050356198241,1.3787904230054264,-0.08147813795085912,1406063.6347436702,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,2,2023-03-01,2023-03-01,B,v2_sizing_v1_allocator,v2,v1,0.2539959460469683,0.13577308960450796,0.08727228540700482,1.501965022984657,-0.04669534010286969,1253995.9460469682,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,A,v1_sizing_v1_allocator,v1,v1,0.25306550044377474,0.1416974408071452,0.130399979392698,1.080615592638185,-0.07305176540022718,1253065.5004437747,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,A,v2_sizing_v2_allocator,v2,v2,0.18520937394034065,0.10496407302106658,0.07356474413615093,1.3932217226894654,-0.03225101145579845,1185209.3739403407,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,A,v1_sizing_v2_allocator,v1,v2,0.2671848122268825,0.14923670010050394,0.13029352440533032,1.1319376970554529,-0.0627689590559748,1267184.8122268824,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,A,v2_sizing_v1_allocator,v2,v1,0.1781811946919516,0.10111042900934741,0.07356738957714558,1.345664957054802,-0.03842224607180689,1178181.1946919516,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,B,v1_sizing_v1_allocator,v1,v1,0.23844939805910803,0.1338558961680969,0.13013282480383823,1.0296028932075265,-0.07518477920743616,1238449.398059108,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,B,v2_sizing_v2_allocator,v2,v2,0.17699999183321857,0.10046182984834062,0.07347142767029625,1.3393171752774349,-0.034507966538289914,1176999.9918332186,0
v2_selected,current_v2_rank_average_leader,sp500-12m/same_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_noscreen,recent,3,2023-04-01,2023-04-01,B,v1_sizing_v2_allocator,v1,v2,0.25294291279635095,0.14163182990961287,0.13000695674650975,1.083074127210671,-0.063675395114001,1252942.912796351,0
