selected_book_origin,selected_book,leg_a,leg_b,window,start_index,start_A,start_B,mechanism,sizing_mode,exposure_mode,full_matrix_replay_case,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe,max_drawdown,n_days,final_equity_multiple,mean_gross,median_gross,mean_gross_leverage,median_gross_leverage,return_on_gross,median_return_on_gross,active_days,efficiency_days,allocator_different_weight_days,allocator_identical_weight_days,allocator_different_weight_fraction,allocator_mean_abs_daily_weight_difference,allocator_max_abs_daily_weight_difference,v1_allocator_months,v1_v2_allocator_different_months,v1_v2_allocator_mean_abs_monthly_difference,v1_v2_allocator_max_abs_monthly_difference
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v1,matched_to_v2,,1055586.3047337448,0.05558630473374482,0.029303078543006844,0.03987668396215466,0.7441806031725366,-0.03000223183032047,472,1.0555863047337448,437415.420380893,417584.16093802376,0.42784575618053877,0.4135905456428515,4.837101378330803e-05,8.07362644634268e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,A,v2,matched_to_v1,,1039035.3649757558,0.03903536497575577,0.020654852771252896,0.1093919693664539,0.2409489841243586,-0.11326341034620935,472,1.0390353649757558,925583.566849469,865294.8572756473,0.9174891884761793,0.8628058834678171,-7.069599203749013e-05,7.908227409173157e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,B,v1,actual,case_1_v1_sizing_v1_allocator,1168007.4073475292,0.16800740734752928,0.08644836312472925,0.08281873586812341,1.0422125979165924,-0.059734193006780956,472,1.1680074073475293,905817.1375497036,847797.3932816875,0.8578923637774681,0.7953646775034043,5.1765566543773344e-05,4.786419224526683e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,B,v2,actual,case_2_v2_sizing_v2_allocator,1008706.8609871787,0.008706860987178766,0.0046391856233534146,0.05010462393274302,0.11738538338885464,-0.057259256710653905,472,1.0087068609871788,430356.6026057072,405283.6254039434,0.4304147130841488,0.40247351168401946,-6.310909402091267e-05,7.062422670981675e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,B,v1,matched_to_v2,,1057075.4989142441,0.05707549891424413,0.0300781052777781,0.03965565601772994,0.7670877843668753,-0.032050361212326406,472,1.0570754989142441,430356.6026057072,405283.6254039434,0.42240041931551564,0.3946791258337809,5.1765566543773344e-05,4.786419224526683e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,1,2023-02-01,2023-12-01,B,v2,matched_to_v1,,1045756.2446177162,0.04575624461771621,0.02417434591335854,0.1089212322076893,0.27311190939768015,-0.11375435218128982,472,1.0457562446177162,905817.1375497036,847797.3932816875,0.9019469418788844,0.8353118520042144,-6.310909402091275e-05,7.062422670981674e-05,469,469,42,430,0.08898305084745763,0.05338983050847458,0.8,23,2,0.05217391304347827,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,A,v1,actual,case_1_v1_sizing_v1_allocator,1208875.3102332074,0.2088753102332075,0.11260138982023848,0.082610712174945,1.332533127582587,-0.05119020939955299,448,1.2088753102332075,966645.2771979345,955395.3004016106,0.8724613912967186,0.8413542870301017,0.0002721006507200726,0.0002948674525439684,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,A,v2,actual,case_2_v2_sizing_v2_allocator,1027875.8419636264,0.02787584196362647,0.015585801844714142,0.056492157464657196,0.30197077936105016,-0.06732359884777561,448,1.0278758419636265,427183.2581529188,395905.3424921982,0.41968188664135686,0.3877864052271725,4.3448992767716553e-05,0.00015170796923904718,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,A,v1,matched_to_v2,,1095268.7902847703,0.09526879028477042,0.05252010612166669,0.03825473253494352,1.3571614701931325,-0.020192274090013673,448,1.0952687902847704,427183.2581529188,395905.3424921982,0.406153898409059,0.37740061704308825,0.0002721006507200726,0.0002948674525439684,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
v1_selected,old_v1_winner,sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide3m_bd7,recent,2,2023-03-01,2024-01-01,A,v2,matched_to_v1,,1026684.0276626603,0.026684027662660315,0.014923253944238324,0.15865319734261177,0.17571805169600366,-0.20787890522679542,448,1.0266840276626603,966645.2771979345,955395.3004016106,0.9526810999984575,0.9470164160265002,4.344899276771655e-05,0.0001517079692390472,444,444,106,342,0.23660714285714285,0.11339285714285714,0.8,22,5,0.10909090909090911,0.8
