A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_noscreen,0.6168021206277586,-0.7924662282921191,-0.2680758030526592,-0.7924662282921191,0.05106933295156439,-0.040707686872284876,242,478,360.0,478,420,459
core-2m/same_sector_slide3m_bd7,core-12m/cross_sector_slide1m_bd7,0.6562997681475451,-0.3639645418776512,0.0136053892125092,-0.3639645418776512,0.04668888909581115,-0.015327324131048647,225,393,309.0,386,360,336
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_noscreen,0.591949289363002,0.1207371102359506,0.2767913993294232,0.1207371102359506,0.06584199374902762,0.006423246784972969,255,173,214.0,154,187,181
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_bd7,0.490621621844761,-0.06600348649871916,0.1224847856909138,-0.06600348649871916,0.040374072712714204,-0.005306821087245894,316,264,290.0,251,335,275
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_noscreen,1.0778124482147837,-0.10669097495037187,0.3070286571397891,-0.10669097495037187,0.09539283189055721,-0.007636960397374382,78,281,179.5,269,126,170
core-2m/same_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_bd7,0.6017346961920185,-0.033628419670431245,0.1954670394193844,-0.033628419670431245,0.045470657888140996,-0.0024951222447944232,249,254,251.5,241,257,235
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_noscreen,0.9878495993879252,-0.4278547563220978,-0.0562614073721564,-0.4278547563220978,0.09310423064506428,-0.043055723350261865,108,411,259.5,408,278,376
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide3m_bd7,1.0175268851219892,0.1768980747750889,0.3799104912578309,0.1768980747750889,0.07974090337899571,0.010606337614096129,97,152,124.5,130,61,126
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_noscreen,1.2020549882296183,0.20667801945643197,0.5188320774910549,0.20667801945643197,0.09503721269810886,0.010480056717375952,39,134,86.5,108,26,67
core-2m/same_sector_slide3m_bd7,sp500-12m/cross_sector_slide1m_bd7,0.7733805373445943,0.14848810474477536,0.348884451125788,0.14848810474477536,0.055289434131581536,0.005850720104767504,174,161,167.5,140,117,140
core-2m/same_sector_slide1m_noscreen,core-2m/same_sector_slide1m_bd7,0.8465004286791983,-0.4738196328868749,-0.0599213858124763,-0.4738196328868749,0.06014755932171423,-0.02843870285758543,145,432,288.5,429,333,377
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide3m_noscreen,0.8951684182802057,-0.44994808042275847,-0.1095294576391544,-0.44994808042275847,0.10736502445892096,-0.06363521561883967,130,421,275.5,418,308,402
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide3m_bd7,0.4892055726117353,-0.3868404551510297,-0.2159382947816103,-0.3868404551510297,0.04183424445265853,-0.06319041002003933,317,399,358.0,393,417,444
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_noscreen,1.2458619840464276,-0.47940548657898313,0.0886934312760426,-0.47940548657898313,0.11057398966057405,-0.03257932369472938,28,433,230.5,431,211,296
core-2m/same_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_bd7,0.5360381203571924,-0.20994464044478953,0.0466493249575767,-0.20994464044478953,0.040045580841216524,-0.01301558433668859,289,319,304.0,310,353,321
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.7052880203683094,-0.02813861729364139,0.1986544914509624,-0.02813861729364139,0.06299878780415225,-0.00485481538073107,206,249,227.5,236,203,234
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.7202071752303032,-0.11622355244499644,0.1508054642143403,-0.11622355244499644,0.0498165821403481,-0.007887280054560408,199,283,241.0,271,237,262
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.7287052697294236,0.008099288399682084,0.2427405876968454,0.008099288399682084,0.054826671006872066,-0.0012260440503325531,194,231,212.5,217,181,203
core-2m/same_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.5184925373224628,-0.2925404078482968,-0.011758277840736,-0.2925404078482968,0.03307987338339315,-0.014557567781849579,303,366,334.5,358,388,349
