A,B,recent,hist,joined_sh,score,r_ret,h_ret,r_rank,h_rank,rank_avg,score_rank,rank_avg_rank,joined_rank
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_noscreen,1.4256164774532458,0.2912267699175625,0.6630647671258181,0.2912267699175625,0.12385776106957583,0.015565058119793918,2,105,53.5,73,5,16
core-2m/same_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,1.15542968708566,0.45408611058509146,0.6856167585594743,0.45408611058509146,0.08398576692717645,0.021193846020663987,38,58,48.0,26,2,12
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide3m_noscreen,0.696128511881961,-0.4094988020647957,-0.1476660798044096,-0.4094988020647957,0.07466563404623594,-0.05773538432509262,211,418,314.5,414,374,427
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide3m_bd7,0.4914219680007572,-0.2834411789812831,-0.18082704514793937,-0.2834411789812831,0.0372510544881147,-0.07306778503026345,313,377,345.0,368,411,444
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide1m_noscreen,0.9988661397322938,-0.6938698388460285,-0.11774943666984042,-0.6938698388460285,0.08097403814158532,-0.04005496822146937,92,470,281.0,470,324,413
core-2m/same_sector_slide1m_bd7,core-2m/cross_sector_slide1m_bd7,0.5614625298281825,-0.2641480080102972,-0.024960049511857697,-0.2641480080102972,0.03843458948676322,-0.01675602393208875,277,369,323.0,359,385,374
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_noscreen,0.7579246893139355,0.10217876824318455,0.2907320671335116,0.10217876824318455,0.05850409008391853,0.004712719970574986,192,191,191.5,172,140,179
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide3m_bd7,0.9717753131833033,0.11101748904993691,0.3671229223107753,0.11101748904993691,0.058454835951356546,0.004183355548121215,99,188,143.5,169,76,127
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.5638442391380855,0.1930258044122811,0.30946688561780933,0.1930258044122811,0.035102172242664584,0.008605083561111115,276,146,211.0,120,176,167
core-2m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_bd7,0.7020051597206813,-0.1759755515206651,0.11277161786596213,-0.1759755515206651,0.03726406048270912,-0.007638171143580896,208,317,262.5,306,287,292
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_noscreen,0.5689406432282172,0.14026257782459287,0.2508653210739063,0.14026257782459287,0.046206658600011205,0.008410879986166853,273,171,222.0,150,197,203
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.2805730128416241,0.5970270189387742,0.5181382006918281,0.2805730128416241,0.017582111279543587,0.03828439558990704,404,34,219.0,78,192,64
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_noscreen,0.7526281663219343,-0.05405144127850114,0.1992127433286032,-0.05405144127850114,0.05249982096461507,-0.004463102413303166,194,267,230.5,252,210,241
core-2m/same_sector_slide1m_bd7,sp500-2m/cross_sector_slide1m_bd7,0.640289311974385,0.08695754130595344,0.26816762907216257,0.08695754130595344,0.03638136141356627,0.002671096297588882,235,200,217.5,181,187,194
core-2m/same_sector_slide1m_bd7,core-12m/same_sector_slide3m_noscreen,0.8079696688831646,-0.7564636872059022,-0.31985735591967124,-0.7564636872059022,0.03633026999113835,-0.028638719603377716,165,478,321.5,478,380,479
