trade_id,pair,entry_date,exit_date,holding_days,exit_reason,hr_entry,anchor_hr,entry_drift,trade_return,trade_pnl,is_win,entry_notional,entry_score,entry_phi,entry_z,mae,mfe,fold_id
5,ADBE-CSCO,2021-11-18,2021-11-30,12,timeout,0.45250757768091443,1.0639212949865682,0.5746794618988924,0.023300239332253746,4243.667297363281,True,182129.77286842346,1.510407952297645,0.8401358497002309,-2.597658526475446,-3.3797879850797403,-1.0595958885163153,7
6,AAPL-CSCO,2021-11-18,2021-11-30,12,timeout,0.8177060447810338,1.2149978382396616,0.3269897122074228,-0.01589031715098233,-2894.099853515625,False,182129.77286842346,1.5532518065851777,0.8380424217890585,-2.6477153909228157,-3.24281502400924,-1.884773460921149,7
1,LOW-TSLA,2021-12-22,2022-01-03,12,stop_loss,1.7537400033836095,2.0517662712425464,0.14525351743814985,-0.1483725065443251,-26707.051177978516,False,180000.0,0.7054760802497025,0.9297627167950078,2.311530583811136,5.6447681959176,1.9553098438014194,8
2,COP-SLB,2022-01-03,2022-01-06,3,stop_loss,0.5377761657139839,1.6152992712744352,0.6670733558310279,-0.03905657838897933,-6842.428623199463,False,175192.73078796387,0.8727097290561372,0.9215424039269516,2.602190116344393,4.520770868999845,2.602190116344393,8
3,MA-PYPL,2022-01-06,2022-01-10,4,signal,0.6835604887911746,1.464181600213983,0.5331450083164031,0.03721138477360233,6473.333190917969,True,173961.09363578795,0.05441823117203175,0.9953301804994313,2.3525044921356164,2.3525044921356164,0.5881132106520142,8
4,UNP-UPS,2022-02-01,2022-02-16,15,signal,0.7529864719395565,1.090172840431308,0.3092962473348259,0.08825195305292843,15455.237442016602,True,175126.2936101532,1.463013343499483,0.8518375166137134,2.6528955393577633,2.6528955393577633,0.6453507609170654,8
6,LOW-TSLA,2022-02-23,2022-02-24,1,signal,1.1696637714718765,2.0517662712425464,0.42992348209158837,0.05715859350648179,10154.284042358398,True,177651.04806518555,1.110871888060486,0.8783475023497623,-2.3278739485788935,-2.3278739485788935,-0.8111424509127012,8
5,COP-SLB,2022-02-15,2022-02-25,10,signal,1.0386937446401734,1.6152992712744352,0.35696513759913534,0.03437798293378836,6092.140510559082,True,177210.52809562683,0.9342534039460324,0.9018167303854321,2.315224191378707,4.0136003250472685,0.548239918343146,8
1,MDLZ-PEP,2022-03-04,2022-03-08,4,signal,0.5800742754900055,1.322853446142921,0.5614977024239961,0.020004692437913682,3600.844638824463,True,180000.0,0.9282290548559831,0.9001345604315492,2.269128973161898,2.269128973161898,0.17700201638675064,9
2,MDLZ-PEP,2022-04-06,2022-04-18,12,signal,0.5669448284178245,1.322853446142921,0.5714227981407309,0.014652649361330544,2646.9740295410156,True,180648.1520349884,0.9272143453827156,0.9146817363424572,2.577390012201137,3.1546478687968533,0.3453463564288498,9
