A,B,joined_sh,joined_ret
sp500-2m/cross_sector_slide3m_noscreen,core-12m/same_sector_slide1m_bd7,0.4453320542731648,0.03244509614152493
core-2m/cross_sector_slide1m_noscreen,sp500-12m/cross_sector_slide1m_bd7,0.4449415313356682,0.027646580669067066
sp500-12m/same_sector_slide1m_noscreen,core-12m/same_sector_slide3m_bd7,0.4415586754004638,0.025477552855288098
sp500-2m/cross_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,0.44134556495605537,0.04085923889101646
sp500-12m/cross_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_noscreen,0.43831834837455413,0.031988894811615556
sp500-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide1m_noscreen,0.4367268676730358,0.03188830336106148
sp500-12m/same_sector_slide3m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.4360797537511016,0.025683738403105894
sp500-2m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide3m_bd7,0.43257686921167726,0.02787799485346585
sp500-12m/cross_sector_slide1m_bd7,core-12m/same_sector_slide3m_bd7,0.4318487392977438,0.01863019078941348
core-2m/cross_sector_slide1m_noscreen,sp500-2m/cross_sector_slide1m_noscreen,0.4309903420537278,0.032257684178532656
core-2m/cross_sector_slide3m_noscreen,sp500-2m/cross_sector_slide3m_bd7,0.4289244026519219,0.04232911197169638
sp500-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide3m_bd7,0.42829669172612056,0.03297163788705926
sp500-12m/cross_sector_slide1m_noscreen,core-12m/same_sector_slide1m_noscreen,0.42692804788350414,0.023026760862010453
sp500-12m/same_sector_slide1m_noscreen,core-12m/same_sector_slide1m_noscreen,0.4211924941199192,0.023320713760050404
sp500-12m/same_sector_slide1m_bd7,sp500-2m/same_sector_slide1m_noscreen,0.420016414291742,0.02278369700310696
sp500-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide1m_noscreen,0.4171197723669259,0.036130784988028485
core-2m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_noscreen,0.41552241067045753,0.02966352399222951
sp500-12m/same_sector_slide1m_bd7,sp500-12m/same_sector_slide3m_bd7,0.41342200642922344,0.02616517778191807
sp500-12m/cross_sector_slide1m_bd7,core-12m/same_sector_slide1m_bd7,0.41274084684234147,0.017349310181144474
sp500-12m/cross_sector_slide1m_bd7,sp500-12m/cross_sector_slide3m_noscreen,0.4124917897498356,0.031080494376152325
sp500-12m/cross_sector_slide1m_noscreen,sp500-12m/cross_sector_slide3m_noscreen,0.4123196198677862,0.03683139499962942
sp500-12m/cross_sector_slide3m_bd7,sp500-12m/same_sector_slide1m_bd7,0.41017574166418563,0.02613458040105785
sp500-12m/same_sector_slide3m_noscreen,core-12m/same_sector_slide3m_bd7,0.40827865437505756,0.03156377345456409
sp500-12m/cross_sector_slide1m_noscreen,sp500-2m/same_sector_slide1m_bd7,0.40750587458056164,0.022281086372958957
sp500-12m/cross_sector_slide1m_noscreen,core-12m/cross_sector_slide3m_bd7,0.4051429905375354,0.02384335123837795
sp500-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_bd7,0.40046304697633506,0.03387822282708521
core-2m/cross_sector_slide1m_bd7,sp500-2m/cross_sector_slide3m_bd7,0.3992965850586881,0.027235260658318515
sp500-12m/cross_sector_slide1m_bd7,core-12m/cross_sector_slide1m_bd7,0.39766917932895535,0.018680146536999055
sp500-12m/same_sector_slide1m_noscreen,core-2m/same_sector_slide1m_bd7,0.39624725474544065,0.023254101285884142
sp500-12m/same_sector_slide3m_noscreen,core-12m/cross_sector_slide1m_bd7,0.3926163228285534,0.02790823603997099
sp500-12m/cross_sector_slide3m_bd7,sp500-12m/same_sector_slide3m_bd7,0.39233771312799065,0.028781995076832788
sp500-12m/cross_sector_slide1m_noscreen,core-2m/cross_sector_slide1m_bd7,0.390497645864874,0.028761823280566378
sp500-2m/cross_sector_slide3m_noscreen,sp500-2m/same_sector_slide3m_noscreen,0.3808158738497851,0.037713884321960836
core-2m/cross_sector_slide1m_noscreen,sp500-12m/same_sector_slide1m_noscreen,0.3800700590841225,0.026437682417905516
sp500-12m/cross_sector_slide3m_bd7,core-2m/same_sector_slide3m_bd7,0.3799104912578309,0.026859029287765557
